dist_num,Population,White Pop,Black Pop,Hispanic Pop,Asian/PI Pop,Native American Pop,Error,White Arrests,Black Arrests,Hispanic Arrests,Asian/PI Arrests,Native American Arrests
1,62781,35208,13657,3766,10864,138,1.357098485,449,2378,337,46,3
2,95439,19189,66577,3242,5880,187,0.381395446,87,"2,690",102,11,1
3,75235,1654,71508,1123,322,182,0.592809198,44,"3,469",26,3,0
4,123575,26117,77303,35381,342,689,13.15557354,107,"4,203",551,3,1
5,74396,1629,70429,2524,51,166,0.54169579,83,"4,748",105,6,0
6,90841,446,88938,914,68,182,0.322541584,96,"5,968",70,7,1
7,71071,511,69202,1167,71,149,0.040804266,73,"5,357",155,7,1
8,247373,118778,53462,139854,2229,1632,27.72412511,472,"1,807","1,593",13,3
9,165201,65820,19860,94610,26141,1153,25.65541371,300,"1,381","1,608",32,0
10,118093,38171,40080,73441,337,1099,29.66729611,301,"4,520","2,390",11,1
11,70474,4673,60385,8118,374,174,4.611629821,624,"10,200",933,17,3
12,127869,69537,23781,42329,8384,839,13.29563851,389,"1,608",690,27,0
14,117738,75162,9448,54039,3847,828,21.7313017,318,471,784,24,0
15,59458,1571,55861,2265,194,144,0.970432911,73,"4,341",222,8,0
16,199476,162554,2438,45434,11019,854,11.44147667,815,405,580,58,2
17,144096,84601,5625,62232,17777,1024,18.85062736,323,251,703,44,1
18,117041,92302,10875,5806,9886,153,1.692569271,529,"2,093",300,45,2
19,200786,161709,13753,20025,12511,558,3.869791719,681,"1,042",515,47,9
20,91279,57451,10230,16519,12972,510,7.014756954,297,441,245,42,3
22,101941,36750,62510,3318,393,165,1.172246692,101,"2,123",39,0,0
24,141038,73653,26057,29746,21026,780,7.249110169,305,864,345,93,3
25,200391,85347,35629,133005,3489,1731,29.34762539,410,1826,2439,7,1
31,24266,21756,129,2230,1233,43,4.636116377,,,,,
