Minute,CT1_Hot,CT1_Cold,CT1_Mix,CT2_Hot,CT2_Cold,CT2_Mix,NT1_Acid,NT1_Base,NT1_mix,NT2_Acid,NT2_Base,NT2_Mix
0,52.5,20.3,,58.2,21.1,,20.4,20.6,,20.2,20.4,
1,51.6,20.3,,57.5,21.2,,20.4,20.6,,20.3,20.5,
2,50.7,20.4,,56.8,21.3,,20.5,20.7,,20.4,20.6,
3,49.8,20.4,,56.1,21.4,,20.5,20.7,,20.5,20.7,
4,48.9,20.5,,55.4,21.5,,20.6,20.8,,20.6,20.8,
5,,,,,,,,,,,,
6,,,32.6,,,35,,,26.4,,,26.8
7,,,32.4,,,34.7,,,26.2,,,26.7
8,,,32.2,,,34.4,,,26,,,26.5
9,,,32,,,34.1,,,25.8,,,26.4
10,,,31.8,,,33.8,,,25.6,,,26.3
