Time,Trial,Type,Temperature
0,CT1,Hot,52.5
1,CT1,Hot,51.6
2,CT1,Hot,50.7
3,CT1,Hot,49.8
4,CT1,Hot,48.9
0,CT1,Cold,20.3
1,CT1,Cold,20.3
2,CT1,Cold,20.4
3,CT1,Cold,20.4
4,CT1,Cold,20.5
6,CT1,Mix,32.6
7,CT1,Mix,32.4
8,CT1,Mix,32.2
9,CT1,Mix,32
10,CT1,Mix,31.8
0,CT2,Hot,58.2
1,CT2,Hot,57.5
2,CT2,Hot,56.8
3,CT2,Hot,56.1
4,CT2,Hot,55.4
0,CT2,Cold,21.1
1,CT2,Cold,21.2
2,CT2,Cold,21.3
3,CT2,Cold,21.4
4,CT2,Cold,21.5
6,CT2,Mix,35
7,CT2,Mix,34.7
8,CT2,Mix,34.4
9,CT2,Mix,34.1
10,CT2,Mix,33.8
0,NT1,Acid,20.4
1,NT1,Acid,20.4
2,NT1,Acid,20.5
3,NT1,Acid,20.5
4,NT1,Acid,20.6
0,NT1,Base,20.6
1,NT1,Base,20.6
2,NT1,Base,20.7
3,NT1,Base,20.7
4,NT1,Base,20.8
6,NT1,Mix,26.4
7,NT1,Mix,26.2
8,NT1,Mix,26
9,NT1,Mix,25.8
10,NT1,Mix,25.6
0,NT2,Acid,20.2
1,NT2,Acid,20.3
2,NT2,Acid,20.4
3,NT2,Acid,20.5
4,NT2,Acid,20.6
0,NT2,Base,20.4
1,NT2,Base,20.5
2,NT2,Base,20.6
3,NT2,Base,20.7
4,NT2,Base,20.8
6,NT2,Mix,26.8
7,NT2,Mix,26.7
8,NT2,Mix,26.5
9,NT2,Mix,26.4
10,NT2,Mix,26.3
