Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,Desired Height (in),Favorite Sport,Procastinator,Men or Women inspiration,Masculinity
8/27/2018 13:54,LSTNYT,5'9 because then I could model,Tokyo,"Prince dead, living Miguel",Spain,5,pizza,Gymnastics,daiquiri,5,More,"Future, no options for me in the past",Treat yo self,69,Misc,0,1,3
8/27/2018 14:11,MJ,5 foot 9. I am 5 foot 7,LA,Bruce Lee,Normandy,3,no opinion,Basketball,hors d'oeuvre,2,Less,2050,"Accept it is to be liberated from it, when tomorrow comes, you must free your ambitious mind and learn the art of dying.   Bruce Lee",69,Basketball,0,2,8
8/27/2018 14:14,Il Volo,"5'2""",Chicago,Dmitri Shostakovich,"Vienna, Austria",4,pizza,Hockey,hors d'oeuvre,3,Less,1919,"Relatable composer quote from Richard Strauss: ""I may not be a first-rate composer, but I am a first-class second-rate composer.""",62,Hockey,0,2,6
8/27/2018 14:26,Jon Belllion,"6'1""","Bar Harbor, ME",Theodore Roosevelt ,New Zealand,4,pizza,Football ,hors d'oeuvre,4,Less,1776,"""Good leaders don't make excuses. Instead, they figure out a way to get things done."" Jocko Willink",73,Football,0,2,10
8/27/2018 15:05,Queen,1.7m,Shanghai,Konosuke Matsushita,Austrailia,4,casserole,Soccer,hors d'oeuvre,3,Less,1985,"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.",67,Soccer,0,2,4
8/27/2018 15:20,"The Hives are my first favorite, but I also love Post Malone.","I'm already a bit over six feet tall, so I'm pretty content with it.","Nashville, TN or Edinburgh, Scottland",David Bowie,"Tokyo, Japan",5,casserole,Hockey because of the fights! (I know that makes me a bad person),hors d'oeuvre,3,Less,1999 so I could go around saying that I'm from the future and tell everyone that Y2K is very real and will definitely destroy the entire universe. ,"""JUST DO IT!!!"" - Shia Labeouf",72,Hockey,0,2,3
8/27/2018 15:25,Camila Cabello,"5'8""","Tokyo, Japan",Cleopatra,Greece,5,pizza,,hors d'oeuvre,5,More,"300 BC Greece, but only for a day bc no ac or plumbing","Two roads diverged in a wood, and I—
I took the one less traveled by,
And that has made all the difference. (Robert Frost, The Road Not Taken)",68,Misc,0,0,0
8/27/2018 15:30,Kanye West,6'4,Barcelona,Elon Musk,Hawaii,5,pizza,Football,hors d'oeuvre,5,Less,1954,"Let me tell you something you already know. The world ain't all sunshine and rainbows. It is a very mean and nasty place and it will beat you to your knees and keep you there permanently if you let it. You, me, or nobody is gonna hit as hard as life. But it ain't how hard you hit; it's about how hard you can get hit, and keep moving forward. How much you can take, and keep moving forward. That's how winning is done. Now, if you know what you're worth, then go out and get what you're worth. But you gotta be willing to take the hit, and not pointing fingers saying you ain't where you are because of him, or her, or anybody. Cowards do that and that ain't you. You're better than that.",76,Football,0,2,10
8/27/2018 15:52,Rock,6'0'',Honolulu,,"Great Barrier Reef, Australia",4,pizza,Baseball,hors d'oeuvre,4,Less,2300,You can't cross the sea merely by standing and staring at the water.,72,Baseball,0,1,7
8/27/2018 16:14,Kendrick Lamar,5'8,Tokyo,Vladimir Lenin,Iceland,5,pizza,Soccer,hors d'oeuvre,3,Less,1985,"""If every porkchop were perfect, we wouldn't have hotdogs.""",68,Soccer,0,2,3
8/27/2018 16:28,Ariana Grande,5'8,beijing,,anywhere that has a beach and fresh sea food,4,pizza,football,hors d'oeuvre,8,Less,2015,,68,Football,0,0,4
8/27/2018 16:57,Panic! at the Disco,"5'6""","Santorini, Greece ",Dr Marian Diamond,"Nice, France",3,no opinion,Tennis,lieutenant,5,More,2038,"""They used to say that if Man was meant to fly, he'd have wings. But he did fly. He discovered he had to."" ",66,Misc,0,0,2
8/27/2018 17:00,Khalid,5’ 7”,Asheville North Carolina ,Barack Obama ,Italy ,4,pizza,Football ,lieutenant,7,More,1945,“A ship in the harbor is safe but that’s not what ships are made for” ,67,Football,0,2,6
8/27/2018 17:59,"Elton John, famous singer/songwriter because he creates great music.",6'7,Boston,Chris Sale,The Bahamas,5,pizza,Football ,daiquiri,6,Less,1985 (Bears SuperBowl),"""If you ain't first, you're last"" -Reese Bobby",79,Football,0,2,7
8/27/2018 19:17,Travis Scott,5'10,St. Lucia,W.E.B DuBois,Lake Retba,5,no opinion,Gymnastics,lieutenant,4,Less,1980's,"""It always seems impossible until it's done."" - Nelson Mandela",70,Misc,1,2,4
8/27/2018 19:42,Rush,Shorter,"Bergen, Norway",Anastasia Romanov,Siberia,5,casserole,Competitive Darts,lieutenant,2,More,21-Oct-15,Hang in there,64,Misc,1,1,5
8/27/2018 21:03,Carrie Underwood,"5'5""",Barcelona,Melissa Benoist ,Barcelona ,4,pizza,Soccer,hors d'oeuvre,4,Less,1925,"Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.",65,Soccer,1,0,0
8/27/2018 23:07,Aminè,5’3”,Portland,Jeffery Dahmer ,Fiji,5,pizza,Puppy super bowl,hors d'oeuvre,4,More,1969,Take what you can get and give nothing back ,63,Misc,1,2,3
8/28/2018 11:09,Drake,6'4,Los Angeles,,,5,no opinion,Basketball and track ,daiquiri,5,More,,,76,Basketball,1,1,5
8/28/2018 13:19,Lorde,"5'6""",Chicago,my grandpa,"Santorini, Greece",5,pizza,basketball,hors d'oeuvre,4,Less,1922,Difficult roads lead to beautiful destinations,66,Basketball,1,1,4
8/28/2018 16:28,Queen,"my height, 5'8",Somewhere in Sweden or Italy (Venice),Julius Caesar,Italy,5,pizza,Curling (but baseball if you need a second answer),hors d'oeuvre,1,More,1813,"“Self-love, my liege, is not so vile a sin, as self-neglecting.” Henry V Act 2 Scene 3",68,Baseball,1,2,5
8/28/2018 18:29,Daddy Yankee,5'11'',Seattle,Daddy Yankee,Puerto Rico,5,pizza,Soccer,hors d'oeuvre,3,More,1999,"""I would rather die on my feet than on my knees.""",71,Soccer,1,2,5
8/28/2018 20:23,Florance and the Machine,6' exactly,"Sienna, Italy",Robin Williams,Japan,5,no opinion,Basketball,daiquiri,9,Less,"1,900,000 BC","A gentleman is someone who can play the accordian, but doesnt",72,Basketball,1,1,4
